"site_id","lat","long","sampling_date","sample_time","type","closest_tide","station_id","begin_date","end_date","date_parsed","hour_min","datetime_local","product","datum","units","interval","time_zone"
"1",24.77395,-80.95152,"6_26_2024","11:41","sample",8723921,"8723921","20240626","20240626",2024-06-26,11H 41M 0S,"2024-06-26 11:41:00","predictions","MLLW","metric","highlow","gmt"
"2",24.79243,-80.9515,"6_26_2024","12:54","sample",8723921,"8723921","20240626","20240626",2024-06-26,12H 54M 0S,"2024-06-26 12:54:00","predictions","MLLW","metric","highlow","gmt"
"5",24.75017,-80.99592,"6_27_2024","12:16","sample",8723949,"8723949","20240627","20240627",2024-06-27,12H 16M 0S,"2024-06-27 12:16:00","predictions","MLLW","metric","highlow","gmt"
"7",24.786,-80.97443,"6_27_2024","9:55","sample",8723933,"8723933","20240627","20240627",2024-06-27,9H 55M 0S,"2024-06-27 09:55:00","predictions","MLLW","metric","highlow","gmt"
"8",24.852,-80.87,"6_25_2024","8:45","sample",8723899,"8723899","20240625","20240625",2024-06-25,8H 45M 0S,"2024-06-25 08:45:00","predictions","MLLW","metric","highlow","gmt"
"10",24.848,-80.8949,"6_25_2024","10:10","sample",8723906,"8723906","20240625","20240625",2024-06-25,10H 10M 0S,"2024-06-25 10:10:00","predictions","MLLW","metric","highlow","gmt"
"11",24.845,-80.791,"6_25_2024","12:47","sample",8723873,"8723873","20240625","20240625",2024-06-25,12H 47M 0S,"2024-06-25 12:47:00","predictions","MLLW","metric","highlow","gmt"
"14",24.84145,-80.83285,"6_25_2024","11:22","sample",8723879,"8723879","20240625","20240625",2024-06-25,11H 22M 0S,"2024-06-25 11:22:00","predictions","MLLW","metric","highlow","gmt"
"17",24.799,-80.90677,"6_26_2024","10:24","sample",8723912,"8723912","20240626","20240626",2024-06-26,10H 24M 0S,"2024-06-26 10:24:00","predictions","MLLW","metric","highlow","gmt"
"20",24.69854,-81.49391,"6_24_2024","13:15","sample",8724328,"8724328","20240624","20240624",2024-06-24,13H 15M 0S,"2024-06-24 13:15:00","predictions","MLLW","metric","highlow","gmt"
"21",24.69856,-81.49394,"6_24_2024","10:57","sample",8724328,"8724328","20240624","20240624",2024-06-24,10H 57M 0S,"2024-06-24 10:57:00","predictions","MLLW","metric","highlow","gmt"
"4_24",24.73822,-81.04939,"6_27_2024","12:40","sample",8723950,"8723950","20240627","20240627",2024-06-27,12H 40M 0S,"2024-06-27 12:40:00","predictions","MLLW","metric","highlow","gmt"
